📡通用线路1,#genre#
CCTV1,http://14.153.176.157:1234/608807420
CCTV2,http://14.153.176.157:1234/631780532
CCTV3,http://14.153.176.157:1234/624878271
CCTV4,http://14.153.176.157:1234/631780421
CCTV5,http://14.153.176.157:1234/641886683
CCTV5+,http://14.153.176.157:1234/641886773
CCTV6,http://14.153.176.157:1234/624878396
CCTV7,http://14.153.176.157:1234/673168121
CCTV8,http://14.153.176.157:1234/624878356
CCTV9,http://14.153.176.157:1234/673168140
CCTV10,http://14.153.176.157:1234/624878405
CCTV11,http://14.153.176.157:1234/667987558
CCTV12,http://14.153.176.157:1234/673168185
CCTV13,http://14.153.176.157:1234/608807423
CCTV14,http://14.153.176.157:1234/624878440
CCTV15,http://14.153.176.157:1234/673168223

CCTV16,http://198.204.228.26/live/cctv16hd.m3u8
CCTV16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV16,http://107.150.60.122/live/cctv16hd.m3u8
CCTV16,http://bztv.tvbus.cc:8081/cdnlive/cctv16.m3u8

CCTV17,http://14.153.176.157:1234/673168256
中国天气,http://14.153.176.157:1234/959986621
CHC影迷电影,http://14.153.176.157:1234/952383261

CCTV1,http://182.61.15.163:80/608807420
CCTV2,http://182.61.15.163:80/631780532
CCTV3,http://182.61.15.163:80/624878271
CCTV4,http://182.61.15.163:80/631780421
CCTV5,http://182.61.15.163:80/641886683
CCTV5+,http://182.61.15.163:80/641886773
CCTV6,http://182.61.15.163:80/624878396
CCTV7,http://182.61.15.163:80/673168121
CCTV8,http://182.61.15.163:80/624878356
CCTV9,http://182.61.15.163:80/673168140
CCTV10,http://182.61.15.163:80/624878405
CCTV11,http://182.61.15.163:80/667987558
CCTV12,http://182.61.15.163:80/673168185
CCTV13,http://182.61.15.163:80/608807423
CCTV14,http://182.61.15.163:80/624878440
CCTV15,http://182.61.15.163:80/673168223
CCTV17,http://182.61.15.163:80/673168256
中国天气,http://182.61.15.163:80/959986621
CHC影迷电影,http://182.61.15.163:80/952383261

CCTV1,http://222.134.19.49:8090/608807420
CCTV2,http://222.134.19.49:8090/631780532
CCTV3,http://222.134.19.49:8090/624878271
CCTV4,http://222.134.19.49:8090/631780421
CCTV5,http://222.134.19.49:8090/641886683
CCTV5+,http://222.134.19.49:8090/641886773
CCTV6,http://222.134.19.49:8090/624878396
CCTV7,http://222.134.19.49:8090/673168121
CCTV8,http://222.134.19.49:8090/624878356
CCTV9,http://222.134.19.49:8090/673168140
CCTV10,http://222.134.19.49:8090/624878405
CCTV11,http://222.134.19.49:8090/667987558
CCTV12,http://222.134.19.49:8090/673168185
CCTV13,http://222.134.19.49:8090/608807423
CCTV14,http://222.134.19.49:8090/624878440
CCTV15,http://222.134.19.49:8090/673168223
CCTV17,http://222.134.19.49:8090/673168256
中国天气,http://222.134.19.49:8090/959986621
CHC影迷电影,http://222.134.19.49:8090/952383261

CCTV1,http://47.119.24.76:59093/608807420
CCTV2,http://47.119.24.76:59093/631780532
CCTV3,http://47.119.24.76:59093/624878271
CCTV4,http://47.119.24.76:59093/631780421
CCTV5,http://47.119.24.76:59093/641886683
CCTV5+,http://47.119.24.76:59093/641886773
CCTV6,http://47.119.24.76:59093/624878396
CCTV7,http://47.119.24.76:59093/673168121
CCTV8,http://47.119.24.76:59093/624878356
CCTV9,http://47.119.24.76:59093/673168140
CCTV10,http://47.119.24.76:59093/624878405
CCTV11,http://47.119.24.76:59093/667987558
CCTV12,http://47.119.24.76:59093/673168185
CCTV13,http://47.119.24.76:59093/608807423
CCTV14,http://47.119.24.76:59093/624878440
CCTV15,http://47.119.24.76:59093/673168223
CCTV17,http://47.119.24.76:59093/673168256
中国天气,http://47.119.24.76:59093/959986621
CHC影迷电影,http://47.119.24.76:59093/952383261

CCTV1,http://222.89.96.36:8001/hls/1/index.m3u8
CCTV1,http://222.85.198.92:8000/hls/1/index.m3u8
CCTV2,http://222.89.96.36:8001/hls/2/index.m3u8
CCTV2,http://222.85.198.92:8000/hls/2/index.m3u8
CCTV3,http://222.89.96.36:8001/hls/3/index.m3u8
CCTV3,http://222.85.198.92:8000/hls/3/index.m3u8
CCTV4,http://222.89.96.36:8001/hls/4/index.m3u8
CCTV4,http://222.85.198.92:8000/hls/4/index.m3u8
CCTV5,http://222.89.96.36:8001/hls/5/index.m3u8
