📡备用线路1,#genre#
CCTV1,http://47.119.24.76:59093/608807420$杭州阿里云
CCTV2,http://47.119.24.76:59093/631780532$杭州阿里云
CCTV3,http://47.119.24.76:59093/624878271$杭州阿里云
CCTV4,http://47.119.24.76:59093/631780421$杭州阿里云
CCTV5,http://47.119.24.76:59093/641886683$杭州阿里云
CCTV5+,http://47.119.24.76:59093/641886773$杭州阿里云
CCTV6,http://47.119.24.76:59093/624878396$杭州阿里云
CCTV7,http://47.119.24.76:59093/673168121$杭州阿里云
CCTV8,http://47.119.24.76:59093/624878356$杭州阿里云
CCTV9,http://47.119.24.76:59093/673168140$杭州阿里云
CCTV10,http://47.119.24.76:59093/624878405$杭州阿里云
CCTV11,http://47.119.24.76:59093/667987558$杭州阿里云
CCTV12,http://47.119.24.76:59093/673168185$杭州阿里云
CCTV13,http://47.119.24.76:59093/608807423$杭州阿里云
CCTV14,http://47.119.24.76:59093/624878440$杭州阿里云
CCTV15,http://47.119.24.76:59093/673168223$杭州阿里云
CCTV16,http://t.061899.xyz/tl/dq.php?id=cctv16$泛播01
CCTV17,http://47.119.24.76:59093/673168256$杭州阿里云
中国天气,http://47.119.24.76:59093/959986621$杭州阿里云
CHC影迷电影,http://47.119.24.76:59093/952383261$杭州阿里云
北京卫视,http://47.119.24.76:59093/630287636$杭州阿里云
东方卫视,http://47.119.24.76:59093/651632648$杭州阿里云
江苏卫视,http://47.119.24.76:59093/623899368$杭州阿里云
江西卫视,http://47.119.24.76:59093/783847495$杭州阿里云
湖北卫视,http://47.119.24.76:59093/947472496$杭州阿里云
辽宁卫视,http://47.119.24.76:59093/630291707$杭州阿里云
陕西卫视,http://47.119.24.76:59093/738910838$杭州阿里云
河南卫视,http://47.119.24.76:59093/790187291$杭州阿里云
重庆卫视,http://47.119.24.76:59093/738910914$杭州阿里云
吉林卫视,http://47.119.24.76:59093/947472500$杭州阿里云
青海卫视,http://47.119.24.76:59093/947472506$杭州阿里云
宁夏卫视,http://47.119.24.76:59093/738910535$杭州阿里云
海南卫视,http://47.119.24.76:59093/947472502$杭州阿里云
兵团卫视,http://47.119.24.76:59093/956923145$杭州阿里云
三沙卫视,http://47.119.24.76:59093/961023778$杭州阿里云

//泛播01不大行
CCTV1,http://t.061899.xyz/tl/dq.php?id=cctv1$泛播01
CCTV2,http://t.061899.xyz/tl/dq.php?id=cctv2$泛播01
CCTV3,http://t.061899.xyz/tl/dq.php?id=cctv3$泛播01
CCTV4,http://t.061899.xyz/tl/dq.php?id=cctv4$泛播01
CCTV5,http://t.061899.xyz/tl/dq.php?id=cctv5$泛播01
CCTV6,http://t.061899.xyz/tl/dq.php?id=cctv6$泛播01
CCTV7,http://t.061899.xyz/tl/dq.php?id=cctv7$泛播01
CCTV8,http://t.061899.xyz/tl/dq.php?id=cctv8$泛播01
CCTV9,http://t.061899.xyz/tl/dq.php?id=cctv9$泛播01
CCTV10,http://t.061899.xyz/tl/dq.php?id=cctv10$泛播01
CCTV11,http://t.061899.xyz/tl/dq.php?id=cctv11$泛播01
