央视频道,#genre#
CCTV1,http://101.65.135.36:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://219.147.245.238:25480/newlive/live/hls/1/live.m3u8
CCTV2,http://101.65.135.36:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://219.147.245.238:25480/newlive/live/hls/2/live.m3u8
CCTV3,http://101.65.135.36:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://219.147.245.238:25480/newlive/live/hls/3/live.m3u8
CCTV4,http://101.65.135.36:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://219.147.245.238:25480/newlive/live/hls/4/live.m3u8
CCTV5,http://101.65.135.36:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://219.147.245.238:25480/newlive/live/hls/5/live.m3u8
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV5+,http://219.147.245.238:25480/newlive/live/hls/6/live.m3u8
CCTV6,http://101.65.135.36:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://219.147.245.238:25480/newlive/live/hls/7/live.m3u8
CCTV7,http://101.65.135.36:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://219.147.245.238:25480/newlive/live/hls/8/live.m3u8
CCTV8,http://101.65.135.36:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://219.147.245.238:25480/newlive/live/hls/9/live.m3u8
CCTV9,http://101.65.135.36:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://219.147.245.238:25480/newlive/live/hls/10/live.m3u8

CCTV10,http://101.65.135.36:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://101.65.135.36:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://219.147.245.238:25480/newlive/live/hls/12/live.m3u8
CCTV12,http://101.65.135.36:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://219.147.245.238:25480/newlive/live/hls/13/live.m3u8
CCTV13,http://101.65.135.36:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://219.147.245.238:25480/newlive/live/hls/14/live.m3u8
CCTV14,http://101.65.135.36:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://219.147.245.238:25480/newlive/live/hls/15/live.m3u8
CCTV15,http://101.65.135.36:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://219.147.245.238:25480/newlive/live/hls/16/live.m3u8
CCTV16,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV16，http://183.129.255.66:8480/hls/17/index.m3u8
CCTV16,http://61.178.227.57:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://219.147.245.238:25480/newlive/live/hls/17/live.m3u8




卫视频道,#genre#
浙江卫视,https://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
北京卫视,http://101.65.135.36:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://106.46.169.202:9000/hls/17/index.m3u8

江苏卫视,http://101.65.135.36:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://106.115.25.5:19901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://101.65.135.36:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://61.178.227.57:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
上海新闻综合,http://58.32.41.137:5080/651632657
上海新闻综合,http://38.75.136.137:98/gslb/dsdqpub/shxwhd.m3u8?auth=testpub
凤凰中文,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.202.35:5140
凤凰中文,http://[2409:8087:2801:22:100::45]/wh7f454c46tw14778710_346869978/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8?icpid=88888888&RTS=1717810839&from=5&hms_devid=1640&online=1717810839&vqe=3
凤凰中文,http://221.7.175.154:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://bobohome.ignorelist.com:20247/fengshows?id=1.m3u8
凤凰资讯,http://[2409:8087:2801:20:100::50]/wh7f454c46tw54228331_-952106546/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8?icpid=88888888&RTS=1717810878&from=5&hms_devid=374&online=1717810878&vqe=3
香港卫视,https://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
天津卫视,http://101.65.135.36:85/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://106.46.169.202:9000/hls/31/index.m3u8
天津卫视,http://120.211.62.180:8000/hls/36/index.m3u8
河北卫视,http://183.129.255.66:8480/hls/39/index.m3u8
河北卫视,http://106.46.169.202:9000/hls/25/index.m3u8
山东卫视,http://101.65.135.36:85/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://106.46.169.202:9000/hls/20/index.m3u8

安徽卫视,http://101.65.135.36:85/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://120.211.62.180:8000/hls/33/index.m3u8
安徽卫视,http://106.46.169.202:9000/hls/15/index.m3u8
湖南卫视,http://101.65.135.36:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://106.46.169.202:9000/hls/27/index.m3u8
湖北卫视,http://101.65.135.36:85/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://106.46.169.202:9000/hls/30/index.m3u8
江西卫视,http://101.65.135.36:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://106.46.169.202:9000/hls/26/index.m3u8
东南卫视,http://101.65.135.36:85/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0

吉林卫视,http://101.65.135.36:85/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://101.65.135.36:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://111.59.24.227:8181/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://101.65.135.36:85/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://106.46.169.202:9000/hls/19/index.m3u8

黑龙江卫视,http://113.195.172.192:1808/hls/201/index.m3u8
四川卫视,http://101.65.135.36:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://106.46.169.202:9000/hls/29/index.m3u8
四川卫视,http://120.211.62.180:8000/hls/42/index.m3u8
重庆卫视,http://183.129.255.66:8480/hls/37/index.m3u8
重庆卫视,http://101.65.135.36:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://101.65.135.36:85/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://120.211.62.180:8000/hls/40/index.m3u8
广东卫视,http://101.65.135.36:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
